,logFC,PValue,FDR
CCDC68,-0.58,0.0053,0.11
MYEOV,0.36,0.0053,0.11
PDK4,0.87,0.0053,0.11
RAB38,1.1,0.0053,0.11
SQSTM1,0.24,0.0053,0.11
TIMELESS,-0.31,0.0053,0.11
BIRC5,-0.27,0.0054,0.11
DENND2A,1.3,0.0054,0.11
KIF24,-0.56,0.0054,0.11
KIF20A,-0.4,0.0055,0.11
RHOV,-0.83,0.0055,0.11
TMEM150A,0.41,0.0056,0.11
BDNF,-0.41,0.0058,0.12
DDIAS,-0.39,0.0058,0.12
DNAJB5,0.6,0.0058,0.12
PADI2,1,0.0058,0.12
SECTM1,1.6,0.0058,0.12
TGFBR3L,1.2,0.0058,0.12
AHNAK,0.46,0.0059,0.12
ATP6V0A2,-0.27,0.0059,0.12
BCAR3,0.51,0.0059,0.12
GMCL1,-0.29,0.0059,0.12
E2F1,-0.31,0.006,0.12
SAMD15,-0.85,0.006,0.12
FZD7,-0.3,0.0061,0.12
SLC2A1,0.48,0.0061,0.12
UBE2F,0.31,0.0061,0.12
ATXN2,0.42,0.0062,0.12
REXO5,-0.79,0.0062,0.12
RHPN2,-0.33,0.0062,0.12
SLC2A3,-1.2,0.0062,0.12
TLE4,0.58,0.0062,0.12
CENPN,-0.28,0.0063,0.12
KIF18B,-0.28,0.0063,0.12
PITPNM2,0.51,0.0063,0.12
SPATA20,0.23,0.0063,0.12
SRRM3,0.64,0.0063,0.12
SSBP2,0.5,0.0063,0.12
SUMF1,-0.26,0.0063,0.12
ZBTB12,0.57,0.0063,0.12
PDP1,0.5,0.0064,0.12
RB1CC1,0.31,0.0064,0.12
SH3TC1,0.45,0.0064,0.12
CASK,-0.25,0.0065,0.12
G0S2,1.1,0.0065,0.12
LPIN2,0.28,0.0065,0.12
NCAPD3,-0.31,0.0065,0.12
SLC4A7,-0.29,0.0065,0.12
CLTCL1,-0.5,0.0066,0.13
LOXL2,0.4,0.0066,0.13
RASSF3,0.32,0.0066,0.13
SAA1,2.5,0.0066,0.13
SNX10,-0.33,0.0066,0.13
SPP1,-0.38,0.0066,0.13
ATP2B4,0.67,0.0067,0.13
LRFN4,0.31,0.0067,0.13
RNF44,0.36,0.0067,0.13
SHROOM3,0.56,0.0067,0.13
VCPKMT,-0.42,0.0067,0.13
CENPA,-0.34,0.0068,0.13
PRKAG2,0.36,0.0068,0.13
PTPRN2,0.84,0.0068,0.13
SCN1B,-0.39,0.0068,0.13
TSKU,0.38,0.0068,0.13
TUBA4B,-0.93,0.0068,0.13
KLF11,0.55,0.0069,0.13
PPP1R1C,-0.96,0.0069,0.13
TNFAIP1,-0.4,0.0069,0.13
CTDSP2,0.32,0.007,0.13
DUSP9,0.79,0.007,0.13
KCNJ11,1.3,0.007,0.13
PSPC1,-0.26,0.007,0.13
PTGR1,0.34,0.007,0.13
SEPHS1,-0.22,0.007,0.13
TAF11L11,-1.7,0.007,0.13
FTH1,0.24,0.0071,0.13
LMTK3,0.45,0.0071,0.13
MCM5,-0.27,0.0071,0.13
OR7E14P,0.93,0.0071,0.13
TRIOBP,0.33,0.0071,0.13
CBX4,0.3,0.0072,0.13
EHD2,0.51,0.0072,0.13
FANCI,-0.3,0.0072,0.13
VHL,0.23,0.0072,0.13
ADAMTS9,-1.5,0.0073,0.13
C9orf152,-1.5,0.0073,0.13
E2F7,-0.56,0.0073,0.13
HOXC8,0.63,0.0073,0.13
RAB11FIP3,0.3,0.0073,0.13
RRM2,-0.34,0.0073,0.13
BCOR,0.36,0.0074,0.13
DGKH,0.41,0.0074,0.13
ERI2,-0.33,0.0074,0.13
GADD45B,-0.52,0.0074,0.13
MCU,-0.28,0.0074,0.13
PTK2,0.28,0.0074,0.13
CIP2A,-0.31,0.0075,0.13
CITED4,0.6,0.0075,0.13
CXCL3,-0.93,0.0075,0.13
DIAPH3,-0.36,0.0075,0.13
ARID3A,0.46,0.0076,0.13
PARP2,-0.36,0.0076,0.13
ABHD14A-ACY1,-1.4,0.0076,0.14
AGR2,-0.43,0.0076,0.14
KCTD6,-0.52,0.0076,0.14
DRD1,-0.77,0.0077,0.14
HPCAL1,0.46,0.0077,0.14
TTC9,0.54,0.0077,0.14
LMO4,-0.39,0.0078,0.14
DLC1,0.6,0.0079,0.14
NEURL1B,-0.75,0.0079,0.14
SLC4A2,0.23,0.0079,0.14
TK1,-0.24,0.0079,0.14
ASAH1,0.23,0.008,0.14
POC1A,-0.36,0.008,0.14
TAGLN2,-0.28,0.008,0.14
AGPAT4,0.59,0.0081,0.14
CDKN1A,0.32,0.0081,0.14
INPPL1,0.25,0.0081,0.14
SPTBN1,0.33,0.0081,0.14
SRGN,0.32,0.0081,0.14
MCRIP2,0.43,0.0082,0.14
C5,-0.39,0.0083,0.14
CCDC34,-0.42,0.0083,0.14
CKMT1B,1,0.0083,0.14
CNKSR2,-0.46,0.0083,0.14
PPWD1,0.33,0.0083,0.14
SMPD4BP,-0.35,0.0083,0.14
CCDC22,-0.38,0.0084,0.14
CFAP46,-1.2,0.0084,0.14
MCM4,-0.2,0.0084,0.14
MTMR11,-0.34,0.0084,0.14
TCF19,-0.36,0.0085,0.14
ZNF555,0.81,0.0085,0.14
AMACR,-0.25,0.0086,0.15
CD44,-0.32,0.0086,0.15
EFNA5,0.5,0.0086,0.15
LAMB2,0.26,0.0086,0.15
MATN2,-0.39,0.0086,0.15
SPIRE2,0.37,0.0086,0.15
SYTL2,-0.46,0.0086,0.15
ATP8B5P,1.1,0.0087,0.15
FAM83D,-0.3,0.0087,0.15
ZFAND2B,-0.35,0.0087,0.15
LCTL,-1.5,0.0088,0.15
BMERB1,0.3,0.0089,0.15
F13B,-0.91,0.0089,0.15
MLH1,-0.23,0.0089,0.15
SS18L1,-0.4,0.0089,0.15
GFAP,1,0.009,0.15
HNRNPA1P54,-1.2,0.009,0.15
SIPA1,0.36,0.009,0.15
TBC1D25,0.42,0.009,0.15
KIF17,0.83,0.0091,0.15
CCDC107,0.34,0.0092,0.15
GFPT2,0.38,0.0092,0.15
DOK7,-1.8,0.0093,0.15
PTPRM,0.23,0.0093,0.15
TNS4,0.53,0.0093,0.15
CDKL2,0.83,0.0094,0.15
HJURP,-0.33,0.0094,0.15
NUAK2,-0.41,0.0094,0.15
CEP85,-0.3,0.0095,0.16
RASSF10,-0.48,0.0095,0.16
DNMT3B,-0.48,0.0096,0.16
SIPA1L2,0.65,0.0096,0.16
STAT4,0.42,0.0096,0.16
TRABD,0.28,0.0096,0.16
PFKFB2,0.4,0.0097,0.16
CACNA1H,0.34,0.0098,0.16
RPA2,-0.25,0.0098,0.16
KLC1,0.24,0.0099,0.16
MARCKS,0.25,0.0099,0.16
TRAFD1,0.28,0.0099,0.16
ALOX5AP,1.4,0.01,0.16
FNIP1,0.25,0.01,0.16
IVD,0.28,0.01,0.16
RFC4,-0.27,0.01,0.16
RILPL2,0.43,0.01,0.16
SULT2B1,-0.35,0.01,0.16
CEBPD,0.39,0.01,0.17
KIAA1671,0.44,0.01,0.17
KPNA3,0.32,0.01,0.17
MFSD12,0.32,0.01,0.17
PARD3,-0.23,0.01,0.17
RSPO3,-0.51,0.01,0.17
TNK2,0.35,0.01,0.17
ARG2,-1,0.011,0.17
B4GALT6,-0.37,0.011,0.17
C19orf12,0.22,0.011,0.17
CLDN7,0.62,0.011,0.17
DSTN,0.27,0.011,0.17
ERGIC1,0.37,0.011,0.17
FGFR1,-0.37,0.011,0.17
LINS1,0.38,0.011,0.17
PIGO,-0.24,0.011,0.17
PLEKHG6,0.6,0.011,0.17
PPP1R3C,-0.43,0.011,0.17
SIPA1L3,0.43,0.011,0.17
SNRNP40,-0.32,0.011,0.17
ZFP36L2,-0.37,0.011,0.17
ZNF408,-0.36,0.011,0.17
GLUD2,0.56,0.011,0.18
GPX3,-0.36,0.011,0.18
HAUS5,-0.33,0.011,0.18
MBP,0.28,0.011,0.18
MCM3,-0.26,0.011,0.18
MLLT6,0.24,0.011,0.18
NSG1,1.5,0.011,0.18
TRIM62,0.73,0.011,0.18
ZNF747,0.32,0.011,0.18
ATP5MC3,0.2,0.012,0.18
CREBL2,0.36,0.012,0.18
DONSON,-0.32,0.012,0.18
HEATR5A,-0.58,0.012,0.18
HMGB3,-0.34,0.012,0.18
HS1BP3,0.25,0.012,0.18
KCNJ8,-1.3,0.012,0.18
NRCAM,0.28,0.012,0.18
PHACTR2,0.41,0.012,0.18
SEMA4G,-0.42,0.012,0.18
STAT5B,0.27,0.012,0.18
TAF4B,0.45,0.012,0.18
ZBED5,-0.3,0.012,0.18
CFHR1,-0.97,0.012,0.19
CTTNBP2NL,0.33,0.012,0.19
DVL1,0.3,0.012,0.19
E2F2,-0.46,0.012,0.19
KLHL5,0.28,0.012,0.19
PRXL2C,0.4,0.012,0.19
TMEM164,0.33,0.012,0.19
TRIM46,0.63,0.012,0.19
TRIP13,-0.27,0.012,0.19
WDR72,0.25,0.012,0.19
WRAP53,-0.3,0.012,0.19
ARHGAP39,0.39,0.013,0.19
ARRDC1,0.35,0.013,0.19
BLM,-0.37,0.013,0.19
CA8,0.78,0.013,0.19
CIT,-0.35,0.013,0.19
CYB5B,-0.25,0.013,0.19
DUX4,-1.6,0.013,0.19
HNF4A,-0.54,0.013,0.19
NPEPPS,0.25,0.013,0.19
RAPGEF4,-1.2,0.013,0.19
TM4SF4,-0.77,0.013,0.19
TNKS1BP1,0.27,0.013,0.19
TOR3A,-0.31,0.013,0.19
TRAIP,-0.46,0.013,0.19
BRIP1,-0.29,0.013,0.2
CENPH,-0.39,0.013,0.2
CKB,0.35,0.013,0.2
CPLX2,-0.32,0.013,0.2
DEPDC1B,-0.34,0.013,0.2
DNM2,0.24,0.013,0.2
FAM72B,-0.41,0.013,0.2
FZD8,-0.57,0.013,0.2
GPR87,1.6,0.013,0.2
IGSF10,-1.2,0.013,0.2
NEB,-0.85,0.013,0.2
PTPRU,0.31,0.013,0.2
RAD18,-0.26,0.013,0.2
RICTOR,0.27,0.013,0.2
SDC4,0.3,0.013,0.2
1 SOS,0.29,0.013,0.2
SP9,0.38,0.013,0.2
TICRR,-0.32,0.013,0.2
AKAP13,0.41,0.014,0.2
CHDH,-0.36,0.014,0.2
CUX2,2.5,0.014,0.2
DSCAML1,1.2,0.014,0.2
EBPL,0.29,0.014,0.2
EREG,0.37,0.014,0.2
FDFT1,-0.25,0.014,0.2
JOSD1,-0.22,0.014,0.2
MTHFR,0.37,0.014,0.2
"2,00 NPR",-0.54,0.014,0.2
PHACTR3,4.2,0.014,0.2
PIK3IP1,-0.73,0.014,0.2
SEMA3B,-0.44,0.014,0.2
AK8,-1.2,0.014,0.21
DNAJC15,1.4,0.014,0.21
FAM47E,0.46,0.014,0.21
INSR,0.51,0.014,0.21
MEF2A,0.41,0.014,0.21
ORC1,-0.34,0.014,0.21
P3H2,-0.43,0.014,0.21
RNF32,-0.86,0.014,0.21
ASL,-0.45,0.015,0.21
CCL2,0.7,0.015,0.21
CHD7,-0.31,0.015,0.21
CLDN3,0.69,0.015,0.21
ELOVL2,-0.65,0.015,0.21
FAM201B,0.7,0.015,0.21
KIF11,-0.27,0.015,0.21
MAD2L1,-0.42,0.015,0.21
MPZ,-1.1,0.015,0.21
RAB37,-0.43,0.015,0.21
SERF1A,4.1,0.015,0.21
SKA3,-0.39,0.015,0.21
SPOCD1,0.77,0.015,0.21
TMEM250,0.25,0.015,0.21
TNXB,0.69,0.015,0.21
C19orf71,0.86,0.015,0.22
KLRG2,0.75,0.015,0.22
MIS18A,-0.39,0.015,0.22
OPA3,0.23,0.015,0.22
TCF20,0.27,0.015,0.22
ZC3HAV1L,0.35,0.015,0.22
BRWD3,0.29,0.016,0.22
CAPN1,0.25,0.016,0.22
EMP3,-0.22,0.016,0.22
EPB41L4B,0.4,0.016,0.22
ERCC6,0.56,0.016,0.22
ESPL1,-0.3,0.016,0.22
FAM210B,0.3,0.016,0.22
NTN4,0.41,0.016,0.22
PLCE1,0.38,0.016,0.22
PTTG1,-0.3,0.016,0.22
RBM24,-0.27,0.016,0.22
RTN4,0.22,0.016,0.22
TRIM67,-1.5,0.016,0.22
TRPA1,-0.71,0.016,0.22
VCAN,-0.6,0.016,0.22
VDAC2,-0.23,0.016,0.22
ZBTB20,0.39,0.016,0.22
ZCCHC2,0.38,0.016,0.22
ZFP36,0.47,0.016,0.22
HOXA5,-0.79,0.016,0.23
TMEM262,1.2,0.016,0.23
ATAD2,-0.24,0.017,0.23
ATXN7L3,0.19,0.017,0.23
BUB1B,-0.28,0.017,0.23
CAPN5,0.32,0.017,0.23
EGLN3,0.42,0.017,0.23
FAM111B,-0.37,0.017,0.23
FAXDC2,1.1,0.017,0.23
FRRS1,0.41,0.017,0.23
HES7,0.94,0.017,0.23
KIF14,-0.24,0.017,0.23
LEFTY1,1.9,0.017,0.23
MED16,0.32,0.017,0.23
MSANTD4,0.25,0.017,0.23
PDE3A,-0.5,0.017,0.23
PDE4D,-0.24,0.017,0.23
PLEKHG2,-0.28,0.017,0.23
PPIC,0.35,0.017,0.23
PPP6R2,0.23,0.017,0.23
SLC29A1,-0.23,0.017,0.23
SUSD4,-1.1,0.017,0.23
TECPR2,0.3,0.017,0.23
UGT2A3,1,0.017,0.23
WASHC4,0.29,0.017,0.23
ZNF292,0.33,0.017,0.23
ZWILCH,-0.23,0.017,0.23
ABLIM2,1.2,0.018,0.24
ARHGEF26,-0.45,0.018,0.24
BCL9L,0.43,0.018,0.24
CALR,0.23,0.018,0.24
FAM3C2P,-1,0.018,0.24
FKRP,0.26,0.018,0.24
GALNT6,0.43,0.018,0.24
HPS1,0.25,0.018,0.24
ICAM5,1.1,0.018,0.24
KSR1,-0.39,0.018,0.24
MAN1C1,1,0.018,0.24
MERTK,-0.63,0.018,0.24
MEX3C,0.22,0.018,0.24
MYC,-0.21,0.018,0.24
PCNX2,-0.4,0.018,0.24
PSAPL1,1.3,0.018,0.24
RBP1,-0.6,0.018,0.24
RPL36A-HNRNPH2,0.85,0.018,0.24
RPS6KA1,0.24,0.018,0.24
SFT2D3,7.4,0.018,0.24
SHCBP1,-0.31,0.018,0.24
SLC2A6,0.32,0.018,0.24
TFPI2,-0.57,0.018,0.24
CCR6,-1.2,0.019,0.24
MTSS2,0.49,0.019,0.24
PSD3,0.3,0.019,0.24
ACAT2,-0.34,0.019,0.25
CFAP157,0.74,0.019,0.25
CPS1,-0.46,0.019,0.25
description:PRH1-PRR4,2.2,0.019,0.25
GPR141,-1.4,0.019,0.25
HIP1R,0.31,0.019,0.25
IQCD,0.71,0.019,0.25
JDP2,0.27,0.019,0.25
LRRC58,0.23,0.019,0.25
LTB4R,-0.35,0.019,0.25
MAPKBP1,0.37,0.019,0.25
NFKBIZ,-0.5,0.019,0.25
OAS1,-0.57,0.019,0.25
POLE2,-0.37,0.019,0.25
SOGA3,0.79,0.019,0.25
TTF2,-0.29,0.019,0.25
UBAP1,0.25,0.019,0.25
ABCC11,1.4,0.02,0.25
ARC,-1.6,0.02,0.25
COL16A1,0.47,0.02,0.25
DEPDC1,-0.26,0.02,0.25
EDC3,0.28,0.02,0.25
GABRA5,-0.33,0.02,0.25
KIAA1109,0.28,0.02,0.25
NFATC2,-0.77,0.02,0.25
RHCG,0.56,0.02,0.25
SLC4A4,-0.68,0.02,0.25
ZNF624,-0.45,0.02,0.25
AMIGO1,0.73,0.02,0.26
CLIP4,0.28,0.02,0.26
DYNLT2,-0.86,0.02,0.26
GPX2,-0.52,0.02,0.26
ITPRIPL2,0.28,0.02,0.26
LHFPL2,0.25,0.02,0.26
PHLDA1,-0.38,0.02,0.26
PRRG4,0.66,0.02,0.26
RMI2,-0.35,0.02,0.26
RNF19B,0.3,0.02,0.26
SFN,0.52,0.02,0.26
TMEM74B,-0.54,0.02,0.26
WDR62,-0.26,0.02,0.26
ABCC6,-0.77,0.021,0.26
CAPN8,1,0.021,0.26
CMIP,-0.45,0.021,0.26
CSNK1G3,0.23,0.021,0.26
CXCL1,-0.67,0.021,0.26
ENG,1,0.021,0.26
FAM126B,0.37,0.021,0.26
FRMD5,-0.7,0.021,0.26
GIGYF1,0.26,0.021,0.26
GLRB,-0.83,0.021,0.26
HABP2,-1.4,0.021,0.26
HAVCR1,0.33,0.021,0.26
KCNF1,-0.39,0.021,0.26
MED27,-0.28,0.021,0.26
MYO9A,0.23,0.021,0.26
NUDT9,0.29,0.021,0.26
PHLPP1,0.47,0.021,0.26
PITX2,-1.1,0.021,0.26
RILP,0.36,0.021,0.26
RNF31,-0.31,0.021,0.26
SLC37A4,-0.27,0.021,0.26
TCF7,-0.49,0.021,0.26
TEF,0.48,0.021,0.26
TMEM59L,-0.72,0.021,0.26
YAP1,0.26,0.021,0.26
ZNF333,-0.64,0.021,0.26
ACADVL,0.23,0.022,0.27
ADGRB1,0.66,0.022,0.27
BTBD2,0.22,0.022,0.27
CD274,-1.5,0.022,0.27
EEF1A2,0.65,0.022,0.27
EPN2,0.22,0.022,0.27
GRHL1,-0.82,0.022,0.27
ITGB1P1,-1.1,0.022,0.27
NFKB1,0.35,0.022,0.27
NR4A2,-0.84,0.022,0.27
PCDHGB4,-0.94,0.022,0.27
RAB11FIP5,0.28,0.022,0.27
RNF19A,-0.4,0.022,0.27
SERTAD3,0.24,0.022,0.27
SIRPA,-0.3,0.022,0.27
SMIM17,1,0.022,0.27
SRF,0.29,0.022,0.27
SSR3,0.25,0.022,0.27
USP40,-0.23,0.022,0.27
WASF2,0.32,0.022,0.27
AKR1C1,0.25,0.023,0.27
BAMBI,-0.39,0.023,0.27
BCL2L2,0.22,0.023,0.27
CCDC71L,0.24,0.023,0.27
CDKN3,-0.31,0.023,0.27
CRY1,0.31,0.023,0.27
HGD,0.3,0.023,0.27
PLEKHG3,-0.29,0.023,0.27
PPP1R3D,0.42,0.023,0.27
RARG,0.32,0.023,0.27
SARM1,-0.41,0.023,0.27
TENT5A,-0.61,0.023,0.27
ZBTB7A,0.34,0.023,0.27
ACTRT3,0.58,0.023,0.28
ETS2,-0.62,0.023,0.28
FAM200B,0.33,0.023,0.28
KLF7,0.33,0.023,0.28
MIDEAS,0.34,0.023,0.28
MLYCD,0.35,0.023,0.28
PSRC1,-0.31,0.023,0.28
SNAI2,1.2,0.023,0.28
SUMF2,-0.19,0.023,0.28
SYT1,-0.52,0.023,0.28
TM4SF19,0.78,0.023,0.28
BUB1,-0.27,0.024,0.28
C11orf80,0.33,0.024,0.28
CNPPD1,0.23,0.024,0.28
ELF3,0.22,0.024,0.28
EXOC6B,0.28,0.024,0.28
FRMD3,0.72,0.024,0.28
FSIP1,0.77,0.024,0.28
GBE1,-0.25,0.024,0.28
GIPC1,0.27,0.024,0.28
GMNN,-0.26,0.024,0.28
GRHPR,0.19,0.024,0.28
JAG1,-0.55,0.024,0.28
KIF3C,0.37,0.024,0.28
MALSU1,0.22,0.024,0.28
MEX3D,0.41,0.024,0.28
MXI1,0.32,0.024,0.28
PIF1,-0.39,0.024,0.28
RAP1GAP,0.52,0.024,0.28
SNX25P1,-1.3,0.024,0.28
SYNGAP1,0.5,0.024,0.28
TBL1XR1,0.19,0.024,0.28
TONSL,-0.33,0.024,0.28
TRAF3IP2,0.42,0.024,0.28
ZNF428,0.23,0.024,0.28
FAM13A,-0.29,0.025,0.28
POR,0.35,0.025,0.28
ANKRD11,0.29,0.025,0.29
ARID4A,0.34,0.025,0.29
CHCHD10,0.38,0.025,0.29
CHRNB2,1,0.025,0.29
CRACR2B,0.53,0.025,0.29
DNAAF1,-1,0.025,0.29
IQCB1,-0.32,0.025,0.29
KIFC2,0.33,0.025,0.29
MYO18A,-0.32,0.025,0.29
NOTCH2NLB,-0.96,0.025,0.29
PLD5,-0.6,0.025,0.29
PSKH1,0.26,0.025,0.29
RIN2,0.2,0.025,0.29
SAP25,0.97,0.025,0.29
SH3GLB1,0.21,0.025,0.29
SUV39H1,-0.26,0.025,0.29
ZNF134,-0.29,0.025,0.29
CALML4,-0.6,0.026,0.29
CCNB2,-0.21,0.026,0.29
CCPG1,-0.32,0.026,0.29
CTNNAL1,-0.24,0.026,0.29
HBP1,0.28,0.026,0.29
HYAL3,0.43,0.026,0.29
ITGB1,-0.22,0.026,0.29
MCM10,-0.35,0.026,0.29
NFE2L2,0.25,0.026,0.29
ST6GAL2,-0.36,0.026,0.29
USP35,0.38,0.026,0.29
ZFYVE21,0.24,0.026,0.29
CDK1,-0.34,0.026,0.3
GLB1L,-0.39,0.026,0.3
ODF2,-0.33,0.026,0.3
PTPRJ,-0.23,0.026,0.3
SRC,-0.21,0.026,0.3
TEAD1,-0.37,0.026,0.3
TNFAIP8,-0.3,0.026,0.3
YEATS2,0.35,0.026,0.3
BCL11B,-0.81,0.027,0.3
CSPG4P10,0.57,0.027,0.3
CUZD1,1,0.027,0.3
DCDC2,-0.32,0.027,0.3
DPY19L2P4,-1,0.027,0.3
GPRIN3,-0.38,0.027,0.3
HDAC8,0.29,0.027,0.3
NCAPG,-0.24,0.027,0.3
OSGIN2,-0.23,0.027,0.3
PAK3,-1.2,0.027,0.3
RNF152,1.9,0.027,0.3
SDC2,-1.4,0.027,0.3
STARD4,-0.56,0.027,0.3
TBC1D9B,0.18,0.027,0.3
TPM1,-0.28,0.027,0.31
AATK,0.78,0.028,0.31
ADAM9,0.19,0.028,0.31
AMER1,0.32,0.028,0.31
ATG2B,0.33,0.028,0.31
C1orf74,-0.36,0.028,0.31
CHIC2,0.43,0.028,0.31
CYP26B1,-0.35,0.028,0.31
DLGAP5,-0.3,0.028,0.31
EPS8L3,-0.49,0.028,0.31
GSTCD,-0.25,0.028,0.31
HYAL1,-1.1,0.028,0.31
ID4,-0.51,0.028,0.31
JADE2,0.23,0.028,0.31
LHX2,-0.53,0.028,0.31
RBBP9,-0.22,0.028,0.31
SLC17A5,0.29,0.028,0.31
SLC25A30,0.35,0.028,0.31
SLC4A3,0.51,0.028,0.31
ST6GALNAC4,0.29,0.028,0.31
TOLLIP,0.22,0.028,0.31
TPMT,-0.27,0.028,0.31
TTYH1,-1.4,0.028,0.31
ABCA12,0.66,0.029,0.31
CD2AP,0.22,0.029,0.31
FAM199X,0.2,0.029,0.31
GBA,-0.21,0.029,0.31
ITPRID2,-0.55,0.029,0.31
LRIG1,-0.44,0.029,0.31
NAT8L,0.32,0.029,0.31
NCCRP1,0.98,0.029,0.31
OGT,0.22,0.029,0.31
PHYHIP,-0.75,0.029,0.31
POFUT1,-0.2,0.029,0.31
RSRP1,0.3,0.029,0.31
TCP11L2,0.65,0.029,0.31
ZDHHC6,-0.23,0.029,0.31
ZNF697,0.56,0.029,0.31
AIFM3,0.54,0.029,0.32
CDR2,-0.28,0.029,0.32
HINT3,0.22,0.029,0.32
INTS1,-0.26,0.029,0.32
LITAF,-0.21,0.029,0.32
PHF21A,0.26,0.029,0.32
VRK1,-0.27,0.029,0.32
AKAP5,-0.46,0.03,0.32
ARHGEF37,0.51,0.03,0.32
C17orf67,0.52,0.03,0.32
CATSPERZ,0.89,0.03,0.32
CBLB,0.45,0.03,0.32
DMAC2L,0.28,0.03,0.32
EFHC1,-0.34,0.03,0.32
FBLIM1,0.32,0.03,0.32
FOXL2,0.54,0.03,0.32
HAUS4,-0.23,0.03,0.32
MXD3,-0.31,0.03,0.32
NCAPD2,-0.27,0.03,0.32
NUDT4P2,0.41,0.03,0.32
RBM15,0.27,0.03,0.32
SENP8,0.52,0.03,0.32
SMN2,-0.67,0.03,0.32
TBC1D10A,0.45,0.03,0.32
TP53BP2,0.23,0.03,0.32
ZNF740,0.22,0.03,0.32
ALDH3A2,0.24,0.031,0.32
C10orf90,1.3,0.031,0.32
CPEB2,-0.26,0.031,0.32
DEPDC7,-0.31,0.031,0.32
HNRNPA1P16,-1.1,0.031,0.32
IDH2,-0.22,0.031,0.32
MOB3B,-0.52,0.031,0.32
RIMS4,0.51,0.031,0.32
TIPIN,-0.3,0.031,0.32
TUBB2A,-0.29,0.031,0.32
WSB1,0.3,0.031,0.32
COQ8B,0.24,0.031,0.33
FOXM1,-0.29,0.031,0.33
GKN2,-1.1,0.031,0.33
HBEGF,-0.63,0.031,0.33
NOSTRIN,-0.53,0.031,0.33
UVRAG,0.37,0.031,0.33
YBX2,-0.79,0.031,0.33
CACNB1,0.44,0.032,0.33
CDK2,-0.23,0.032,0.33
DDX11,-0.2,0.032,0.33
EVI5L,0.44,0.032,0.33
GABRB3,-0.24,0.032,0.33
HLA-DMA,-0.46,0.032,0.33
NANOS3,-1.3,0.032,0.33
NDC1,-0.21,0.032,0.33
NSD2,-0.2,0.032,0.33
PNMA6A,0.42,0.032,0.33
POLD3,-0.28,0.032,0.33
PPP1R12B,0.32,0.032,0.33
RASSF7,0.3,0.032,0.33
TOB1,-0.34,0.032,0.33
DAB2,-0.51,0.032,0.34
AKR7A2,-0.22,0.033,0.34
BSCL2,-0.26,0.033,0.34
ITPR3,0.31,0.033,0.34
KIRREL3,-0.79,0.033,0.34
LAMP2,0.17,0.033,0.34
MCCC1,0.42,0.033,0.34
NRG1,-0.27,0.033,0.34
POLE3,-0.22,0.033,0.34
POM121L9P,-0.97,0.033,0.34
PUS1,0.24,0.033,0.34
RAD51AP1,-0.38,0.033,0.34
RUSC2,0.21,0.033,0.34
SEPTIN5,0.67,0.033,0.34
SIRT5,-0.29,0.033,0.34
SMIM10L2A,-0.46,0.033,0.34
TOR1B,-0.21,0.033,0.34
VPS13C,0.24,0.033,0.34
ANXA8,0.33,0.034,0.34
C18orf54,-0.52,0.034,0.34
CMKLR2,1.3,0.034,0.34
CRADD,-0.27,0.034,0.34
FAHD2A,-0.24,0.034,0.34
GLRX,0.29,0.034,0.34
ITPA,0.19,0.034,0.34
LHX6,1.1,0.034,0.34
SKP2,-0.31,0.034,0.34
CNN3,-0.19,0.034,0.35
KMT5B,0.27,0.034,0.35
PINK1,0.26,0.034,0.35
PLEKHA1,0.19,0.034,0.35
RPS18P9,0.96,0.034,0.35
AKR1B10,-0.23,0.035,0.35
ATP5PF,0.22,0.035,0.35
ELF1,0.23,0.035,0.35
MOSPD3,0.35,0.035,0.35
NDC80,-0.33,0.035,0.35
NKAIN4,-0.55,0.035,0.35
PDE9A,0.69,0.035,0.35
SLC44A3,-0.5,0.035,0.35
TACC3,-0.2,0.035,0.35
THAP10,-0.35,0.035,0.35
UGT2B15,1,0.035,0.35
AADAC,-0.32,0.036,0.36
ARHGAP45,0.35,0.036,0.36
BDKRB1,-0.88,0.036,0.36
C17orf107,1.2,0.036,0.36
CALD1,0.23,0.036,0.36
CAVIN1,0.26,0.036,0.36
CDKN1B,0.26,0.036,0.36
DPYSL2,0.27,0.036,0.36
FAM86FP,-1,0.036,0.36
FHIP2B,0.19,0.036,0.36
GUSB,-0.24,0.036,0.36
HEMK1,-0.35,0.036,0.36
ITGA2B,-0.64,0.036,0.36
MCM2,-0.2,0.036,0.36
MRPL16,0.24,0.036,0.36
MYB,-1.1,0.036,0.36
NAMPTP1,0.82,0.036,0.36
"3,00 NPR",0.36,0.036,0.36
SDAD1,0.28,0.036,0.36
SGO1,-0.3,0.036,0.36
SPG7,0.2,0.036,0.36
STAP2,0.98,0.036,0.36
TFE3,0.24,0.036,0.36
TIMM23B-AGAP6,-0.99,0.036,0.36
ULBP2,-0.73,0.036,0.36
ASNS,-0.24,0.037,0.36
CDC25C,-0.41,0.037,0.36
GPAT3,0.4,0.037,0.36
MANBAL,-0.2,0.037,0.36
PELI3,0.42,0.037,0.36
RRM1,-0.3,0.037,0.36
TRAM2,0.34,0.037,0.36
TRIM8,0.29,0.037,0.36
ULK2,0.23,0.037,0.36
ZNF316,0.27,0.037,0.36
ADGRA3,-0.2,0.038,0.37
C5AR2,0.56,0.038,0.37
DDX56,-0.2,0.038,0.37
EIF4G2,-0.26,0.038,0.37
